District,Date,Rainfall
Anuppur,01-06-2022,6.935333333
Anuppur,01-07-2022,9.496896552
Anuppur,01-08-2022,12.65354839
Anuppur,01-09-2022,9.002
Anuppur,01-10-2022,2.718064516
Anuppur,01-11-2022,0
Anuppur,01-12-2022,0.010322581
Anuppur,01-01-2023,0
Anuppur,01-02-2023,0
Anuppur,01-03-2023,1.150322581
Anuppur,01-04-2023,1.195666667
Anuppur,01-05-2023,1.528387097
Anuppur,01-06-2023,7.111724138
Anuppur,01-07-2023,8.470967742
Anuppur,01-08-2023,10.51774194
Anuppur,01-09-2023,10.146
Anuppur,01-10-2023,1.284193548
Anuppur,01-11-2023,0.172333333
Anuppur,01-12-2023,0.781612903
Balaghat,01-01-2014,0.138064516
Balaghat,01-02-2014,1.633571429
Balaghat,01-03-2014,0.828387097
Balaghat,01-04-2014,0.287
Balaghat,01-05-2014,0.241612903
Balaghat,01-06-2014,4.270666667
Balaghat,01-07-2014,14.76516129
Balaghat,01-08-2014,7.623548387
Balaghat,01-09-2014,5.104
Balaghat,01-10-2014,2.528709677
Balaghat,01-11-2014,0.000333333
Balaghat,01-12-2014,0.286129032
Balaghat,01-01-2015,0.359032258
Balaghat,01-02-2015,0.200714286
Balaghat,01-03-2015,2.18483871
Balaghat,01-04-2015,0.898666667
Balaghat,01-05-2015,0.278387097
Balaghat,01-06-2015,6.429666667
Balaghat,01-07-2015,7.854516129
Balaghat,01-08-2015,9.199677419
Balaghat,01-09-2015,5.435666667
Balaghat,01-10-2015,0.406129032
Balaghat,01-11-2015,0
Balaghat,01-12-2015,0.036451613
Balaghat,01-01-2016,0.160322581
Balaghat,01-02-2016,0.066896552
Balaghat,01-03-2016,0.856129032
Balaghat,01-04-2016,0.037333333
Balaghat,01-05-2016,0.219677419
Balaghat,01-06-2016,4.033333333
Balaghat,01-07-2016,11.72935484
Balaghat,01-08-2016,9.897419355
Balaghat,01-09-2016,6.360333333
Balaghat,01-10-2016,1.04
Balaghat,01-11-2016,0
Balaghat,01-12-2016,0
Balaghat,01-01-2017,0.126451613
Balaghat,01-02-2017,0.175357143
Balaghat,01-03-2017,0.146129032
Balaghat,01-04-2017,0
Balaghat,01-05-2017,0.752903226
Balaghat,01-06-2017,4.735666667
Balaghat,01-07-2017,10.35096774
Balaghat,01-08-2017,7.904193548
Balaghat,01-09-2017,4.375666667
Balaghat,01-10-2017,1.033870968
Balaghat,01-11-2017,0
Balaghat,01-12-2017,0
Balaghat,01-01-2018,0
Balaghat,01-02-2018,1.207857143
Balaghat,01-03-2018,0.008387097
Balaghat,01-04-2018,0.293333333
Balaghat,01-05-2018,0.199677419
Balaghat,01-06-2018,4.584
Balaghat,01-07-2018,13.23129032
Balaghat,01-08-2018,9.541612903
Balaghat,01-09-2018,3.398
Balaghat,01-10-2018,0.298709677
Balaghat,01-11-2018,0
Balaghat,01-12-2018,1.059677419
Balaghat,01-01-2019,0.858387097
Balaghat,01-02-2019,0.7175
Balaghat,01-03-2019,0.686774194
Balaghat,01-04-2019,0.049333333
Balaghat,01-05-2019,0.022258065
Balaghat,01-06-2019,1.937
Balaghat,01-07-2019,10.26354839
Balaghat,01-08-2019,13.59096774
Balaghat,01-09-2019,12.079
Balaghat,01-10-2019,0.869354839
Balaghat,01-11-2019,0.08
Balaghat,01-12-2019,0.126451613
Balaghat,01-01-2020,2.665483871
Balaghat,01-02-2020,1.534482759
Balaghat,01-03-2020,1.566774194
Balaghat,01-04-2020,0.402
Balaghat,01-05-2020,0.605714286
Balaghat,01-06-2020,7.053
Balaghat,01-07-2020,7.1225
Balaghat,01-08-2020,20.7383871
Balaghat,01-09-2020,4.353
Balaghat,01-10-2020,2.441290323
Balaghat,01-11-2020,0.459333333
Balaghat,01-12-2020,0.032580645
Balaghat,01-01-2021,0.128387097
Balaghat,01-02-2021,0.836785714
Balaghat,01-03-2021,0.255483871
Balaghat,01-04-2021,0.053448276
Balaghat,01-05-2021,1.333793103
Balaghat,01-06-2021,5.10875
Balaghat,01-07-2021,10.05103448
Balaghat,01-08-2021,4.800967742
Balaghat,01-09-2021,11.16566667
Balaghat,01-10-2021,1.268064516
Balaghat,01-11-2021,0.27
Balaghat,01-12-2021,1.351935484
Balaghat,01-01-2022,0.906451613
Balaghat,01-02-2022,0.352592593
Balaghat,01-03-2022,0.003
Balaghat,01-04-2022,0.072142857
Balaghat,01-05-2022,0.471290323
Balaghat,01-06-2022,4.592
Balaghat,01-07-2022,12.37793103
Balaghat,01-08-2022,15.68290323
Balaghat,01-09-2022,10.029
Balaghat,01-10-2022,2.94
Balaghat,01-11-2022,0
Balaghat,01-12-2022,0
Balaghat,01-01-2023,0.047
Balaghat,01-02-2023,0
Balaghat,01-03-2023,1.439354839
Balaghat,01-04-2023,1.745333333
Balaghat,01-05-2023,1.134516129
Balaghat,01-06-2023,6.375517241
Balaghat,01-07-2023,10.13548387
Balaghat,01-08-2023,8.367419355
Balaghat,01-09-2023,13.316
Balaghat,01-10-2023,0.294193548
Balaghat,01-11-2023,0.634666667
Balaghat,01-12-2023,0.458387097
Barwani,01-01-2014,0.267419355
Barwani,01-02-2014,0.491071429
Barwani,01-03-2014,0.190645161
Barwani,01-04-2014,0
Barwani,01-05-2014,0.014193548
Barwani,01-06-2014,0.698666667
Barwani,01-07-2014,10.56935484
Barwani,01-08-2014,4.127419355
Barwani,01-09-2014,8.132333333
Barwani,01-10-2014,0.229677419
Barwani,01-11-2014,0.124
Barwani,01-12-2014,0.527741935
Barwani,01-01-2015,0.501290323
Barwani,01-02-2015,0.039642857
Barwani,01-03-2015,0.848709677
Barwani,01-04-2015,0.539666667
Barwani,01-05-2015,0.044193548
Barwani,01-06-2015,5.191666667
Barwani,01-07-2015,7.256451613
Barwani,01-08-2015,5.45516129
Barwani,01-09-2015,4.349
Barwani,01-10-2015,0.42516129
Barwani,01-11-2015,0.023333333
Barwani,01-12-2015,0
Barwani,01-01-2016,0.006774194
Barwani,01-02-2016,0
Barwani,01-03-2016,0.011612903
Barwani,01-04-2016,0.001333333
Barwani,01-05-2016,0.084516129
Barwani,01-06-2016,4.295333333
Barwani,01-07-2016,8.464516129
Barwani,01-08-2016,6.366129032
Barwani,01-09-2016,5.452666667
Barwani,01-10-2016,1.802580645
Barwani,01-11-2016,0
Barwani,01-12-2016,0
Barwani,01-01-2017,0.001612903
Barwani,01-02-2017,0
Barwani,01-03-2017,0.000645161
Barwani,01-04-2017,0
Barwani,01-05-2017,0.040967742
Barwani,01-06-2017,3.909666667
Barwani,01-07-2017,9.270645161
Barwani,01-08-2017,6.049032258
Barwani,01-09-2017,3.745666667
Barwani,01-10-2017,0.643225806
Barwani,01-11-2017,0.001
Barwani,01-12-2017,0.348064516
Barwani,01-01-2018,0
Barwani,01-02-2018,0
Barwani,01-03-2018,0.008709677
Barwani,01-04-2018,0
Barwani,01-05-2018,0
Barwani,01-06-2018,4.527333333
Barwani,01-07-2018,7.225806452
Barwani,01-08-2018,7.531612903
Barwani,01-09-2018,3.246
Barwani,01-10-2018,0
Barwani,01-11-2018,0.007
Barwani,01-12-2018,0
Barwani,01-01-2019,0
Barwani,01-02-2019,0
Barwani,01-03-2019,0
Barwani,01-04-2019,0.023333333
Barwani,01-05-2019,0
Barwani,01-06-2019,2.934666667
Barwani,01-07-2019,11.10451613
Barwani,01-08-2019,15.25290323
Barwani,01-09-2019,11.50333333
Barwani,01-10-2019,2.117741935
Barwani,01-11-2019,0.567
Barwani,01-12-2019,0.003548387
Barwani,01-01-2020,0
Barwani,01-02-2020,0
Barwani,01-03-2020,0.191290323
Barwani,01-04-2020,0
Barwani,01-05-2020,0
Barwani,01-06-2020,8.793
Barwani,01-07-2020,6.12
Barwani,01-08-2020,10.80419355
Barwani,01-09-2020,6.476
Barwani,01-10-2020,1.03516129
Barwani,01-11-2020,0
Barwani,01-12-2020,0.890645161
Barwani,01-01-2021,0.183225806
Barwani,01-02-2021,0.053928571
Barwani,01-03-2021,0.07516129
Barwani,01-04-2021,0
Barwani,01-05-2021,0.607931034
Barwani,01-06-2021,2.875833333
Barwani,01-07-2021,4.766206897
Barwani,01-08-2021,4.657741935
Barwani,01-09-2021,10.63933333
Barwani,01-10-2021,3.03
Barwani,01-11-2021,0.183666667
Barwani,01-12-2021,0.817419355
Barwani,01-01-2022,0.343225806
Barwani,01-02-2022,0
Barwani,01-03-2022,0.032
Barwani,01-04-2022,0
Barwani,01-05-2022,0
Barwani,01-06-2022,2.464
Barwani,01-07-2022,12.43896552
Barwani,01-08-2022,7.370967742
Barwani,01-09-2022,7.321666667
Barwani,01-10-2022,3.499354839
Barwani,01-11-2022,0
Barwani,01-12-2022,0.068387097
Barwani,01-01-2023,0
Barwani,01-02-2023,0
Barwani,01-03-2023,0.324193548
Barwani,01-04-2023,0.565666667
Barwani,01-05-2023,0.597741935
Barwani,01-06-2023,2.389655172
Barwani,01-07-2023,8.698709677
Barwani,01-08-2023,2.316129032
Barwani,01-09-2023,11.91033333
Barwani,01-10-2023,0.098387097
Barwani,01-11-2023,2.622666667
Barwani,01-12-2023,0.16516129
Bhind,01-01-2014,1.559677419
Bhind,01-02-2014,1.250714286
Bhind,01-03-2014,0.158064516
Bhind,01-04-2014,0.026333333
Bhind,01-05-2014,0.025483871
Bhind,01-06-2014,0.533666667
Bhind,01-07-2014,3.035483871
Bhind,01-08-2014,3.974193548
Bhind,01-09-2014,3.279333333
Bhind,01-10-2014,0.079677419
Bhind,01-11-2014,0
Bhind,01-12-2014,0.842580645
Bhind,01-01-2015,0.802580645
Bhind,01-02-2015,0.042142857
Bhind,01-03-2015,2.528387097
Bhind,01-04-2015,0.141666667
Bhind,01-05-2015,0.129032258
Bhind,01-06-2015,1.103
Bhind,01-07-2015,5.461290323
Bhind,01-08-2015,4.136451613
Bhind,01-09-2015,0.826333333
Bhind,01-10-2015,0.423870968
Bhind,01-11-2015,0
Bhind,01-12-2015,0.344193548
Bhind,01-01-2016,0.191612903
Bhind,01-02-2016,0.008965517
Bhind,01-03-2016,0.023548387
Bhind,01-04-2016,0
Bhind,01-05-2016,0.549354839
Bhind,01-06-2016,3.757333333
Bhind,01-07-2016,7.869354839
Bhind,01-08-2016,5.77
Bhind,01-09-2016,0.896666667
Bhind,01-10-2016,0.528709677
Bhind,01-11-2016,0
Bhind,01-12-2016,0
Bhind,01-01-2017,0.641935484
Bhind,01-02-2017,0
Bhind,01-03-2017,0.161290323
Bhind,01-04-2017,0
Bhind,01-05-2017,0.253548387
Bhind,01-06-2017,2.161333333
Bhind,01-07-2017,5.414516129
Bhind,01-08-2017,3.894193548
Bhind,01-09-2017,3.021333333
Bhind,01-10-2017,0
Bhind,01-11-2017,0
Bhind,01-12-2017,0.041612903
Bhind,01-01-2018,0.011935484
Bhind,01-02-2018,0.1375
Bhind,01-03-2018,0
Bhind,01-04-2018,0.217333333
Bhind,01-05-2018,0.242580645
Bhind,01-06-2018,1.784666667
Bhind,01-07-2018,13.64903226
Bhind,01-08-2018,5.086774194
Bhind,01-09-2018,6.311333333
Bhind,01-10-2018,0
Bhind,01-11-2018,0
Bhind,01-12-2018,0.018064516
Bhind,01-01-2019,0.028709677
Bhind,01-02-2019,0.586071429
Bhind,01-03-2019,0.02483871
Bhind,01-04-2019,0.055666667
Bhind,01-05-2019,0.069677419
Bhind,01-06-2019,1.499333333
Bhind,01-07-2019,7.343870968
Bhind,01-08-2019,6.115483871
Bhind,01-09-2019,5.266
Bhind,01-10-2019,0.456774194
Bhind,01-11-2019,0.188
Bhind,01-12-2019,0.06516129
Bhind,01-01-2020,1.033870968
Bhind,01-02-2020,0
Bhind,01-03-2020,0.833870968
Bhind,01-04-2020,0.153
Bhind,01-05-2020,0.64
Bhind,01-06-2020,2.323333333
Bhind,01-07-2020,4.008125
Bhind,01-08-2020,5.537419355
Bhind,01-09-2020,0.569333333
Bhind,01-10-2020,0
Bhind,01-11-2020,0.742666667
Bhind,01-12-2020,0
Bhind,01-01-2021,0.006451613
Bhind,01-02-2021,0.060357143
Bhind,01-03-2021,0.190967742
Bhind,01-04-2021,0.055517241
Bhind,01-05-2021,1.27862069
Bhind,01-06-2021,0.763333333
Bhind,01-07-2021,11.03655172
Bhind,01-08-2021,5.609677419
Bhind,01-09-2021,5.071333333
Bhind,01-10-2021,2.300322581
Bhind,01-11-2021,0.023666667
Bhind,01-12-2021,0.07516129
Bhind,01-01-2022,0.711290323
Bhind,01-02-2022,0.094814815
Bhind,01-03-2022,0
Bhind,01-04-2022,0
Bhind,01-05-2022,0.189032258
Bhind,01-06-2022,0.793
Bhind,01-07-2022,5.793103448
Bhind,01-08-2022,6.032258065
Bhind,01-09-2022,8.239333333
Bhind,01-10-2022,4.302580645
Bhind,01-11-2022,0.000333333
Bhind,01-12-2022,0
Bhind,01-01-2023,0.444
Bhind,01-02-2023,0
Bhind,01-03-2023,0.197741935
Bhind,01-04-2023,0.015333333
Bhind,01-05-2023,1.462258065
Bhind,01-06-2023,4.317586207
Bhind,01-07-2023,9.314516129
Bhind,01-08-2023,7.459677419
Bhind,01-09-2023,4.982666667
Bhind,01-10-2023,0.089354839
Bhind,01-11-2023,0.117666667
Bhind,01-12-2023,0.597741935
Bhopal,01-01-2014,1.503870968
Bhopal,01-02-2014,2.136785714
Bhopal,01-03-2014,0.258709677
Bhopal,01-04-2014,0.153
Bhopal,01-05-2014,0.069677419
Bhopal,01-06-2014,1.727
Bhopal,01-07-2014,12.06967742
Bhopal,01-08-2014,7.400645161
Bhopal,01-09-2014,5.617666667
Bhopal,01-10-2014,0.179354839
Bhopal,01-11-2014,0.000333333
Bhopal,01-12-2014,0.949677419
Bhopal,01-01-2015,1.469032258
Bhopal,01-02-2015,0.011428571
Bhopal,01-03-2015,1.486774194
Bhopal,01-04-2015,0.176666667
Bhopal,01-05-2015,0.14483871
Bhopal,01-06-2015,4.826666667
Bhopal,01-07-2015,16.90709677
Bhopal,01-08-2015,9.764516129
Bhopal,01-09-2015,1.653333333
Bhopal,01-10-2015,0.126129032
Bhopal,01-11-2015,0
Bhopal,01-12-2015,0
Bhopal,01-01-2016,0.568709677
Bhopal,01-02-2016,0.006551724
Bhopal,01-03-2016,0.226451613
Bhopal,01-04-2016,0
Bhopal,01-05-2016,0.209354839
Bhopal,01-06-2016,4.808
Bhopal,01-07-2016,20.69548387
Bhopal,01-08-2016,18.34709677
Bhopal,01-09-2016,3.029333333
Bhopal,01-10-2016,1.93
Bhopal,01-11-2016,0
Bhopal,01-12-2016,0
Bhopal,01-01-2017,0.067419355
Bhopal,01-02-2017,0.061071429
Bhopal,01-03-2017,0.032258065
Bhopal,01-04-2017,0
Bhopal,01-05-2017,0.326451613
Bhopal,01-06-2017,3.784666667
Bhopal,01-07-2017,11.38741935
Bhopal,01-08-2017,4.607096774
Bhopal,01-09-2017,6.250333333
Bhopal,01-10-2017,0.111290323
Bhopal,01-11-2017,0
Bhopal,01-12-2017,0.002580645
Bhopal,01-01-2018,0
Bhopal,01-02-2018,0.4875
Bhopal,01-03-2018,0.022258065
Bhopal,01-04-2018,0.094333333
Bhopal,01-05-2018,0.007096774
