District,Date,Rainfall
Chhatishgarh,01-04-2018,0.982666667
Chhatishgarh,01-05-2018,1.344193548
Chhatishgarh,01-06-2018,5.079666667
Chhatishgarh,01-07-2018,12.3816129
Chhatishgarh,01-08-2018,13.20387097
Chhatishgarh,01-09-2018,4.937
Chhatishgarh,01-10-2018,0.196129032
Chhatishgarh,01-11-2018,0.004333333
Chhatishgarh,01-12-2018,1.490322581
Chhatishgarh,01-01-2019,0.44516129
Chhatishgarh,01-02-2019,0.441428571
Chhatishgarh,01-03-2019,0.468387097
Chhatishgarh,01-04-2019,0.482
Chhatishgarh,01-05-2019,0.546129032
Chhatishgarh,01-06-2019,4.356666667
Chhatishgarh,01-07-2019,11.50935484
Chhatishgarh,01-08-2019,13.03967742
Chhatishgarh,01-09-2019,11.334
Chhatishgarh,01-10-2019,3.399032258
Chhatishgarh,01-11-2019,0.051
Chhatishgarh,01-12-2019,0.151935484
Chhatishgarh,01-01-2020,0.987741935
Chhatishgarh,01-02-2020,1.388965517
Chhatishgarh,01-03-2020,1.891290323
Chhatishgarh,01-04-2020,1.100333333
Chhatishgarh,01-05-2020,1.466428571
Chhatishgarh,01-06-2020,9.339333333
Chhatishgarh,01-07-2020,9.4275
Chhatishgarh,01-08-2020,16.38032258
Chhatishgarh,01-09-2020,5.451
Chhatishgarh,01-10-2020,2.914516129
Chhatishgarh,01-11-2020,0.192
Chhatishgarh,01-12-2020,0.032903226
Chhatishgarh,01-01-2021,0.079677419
Chhatishgarh,01-02-2021,0.375
Chhatishgarh,01-03-2021,0.187419355
Chhatishgarh,01-04-2021,0.482068966
Chhatishgarh,01-05-2021,2.487241379
Chhatishgarh,01-06-2021,7.589583333
Chhatishgarh,01-07-2021,10.40275862
Chhatishgarh,01-08-2021,6.788387097
Chhatishgarh,01-09-2021,9.880666667
Chhatishgarh,01-10-2021,1.381290323
Chhatishgarh,01-11-2021,0.808333333
Chhatishgarh,01-12-2021,0.928709677
Chhatishgarh,01-01-2022,1.299032258
Chhatishgarh,01-02-2022,0.427777778
Chhatishgarh,01-03-2022,0.024
Chhatishgarh,01-04-2022,0.332857143
Chhatishgarh,01-05-2022,0.877096774
Chhatishgarh,01-06-2022,4.469333333
Chhatishgarh,01-07-2022,13.96931034
Chhatishgarh,01-08-2022,14.26935484
Chhatishgarh,01-09-2022,7.471333333
Chhatishgarh,01-10-2022,2.309677419
Chhatishgarh,01-11-2022,0.001
Chhatishgarh,01-12-2022,0.073870968
Chhatishgarh,01-01-2023,0.005
Chhatishgarh,01-02-2023,0
Chhatishgarh,01-03-2023,1.271935484
Chhatishgarh,01-04-2023,1.453
Chhatishgarh,01-05-2023,1.331612903
Chhatishgarh,01-06-2023,5.767931034
Chhatishgarh,01-07-2023,10.37129032
Chhatishgarh,01-08-2023,7.903870968
Chhatishgarh,01-09-2023,10.805
Chhatishgarh,01-10-2023,1.211935484
Chhatishgarh,01-11-2023,0.167333333
Chhatishgarh,01-12-2023,1.015483871
Dakshin Bastar,01-01-2014,0
Dakshin Bastar,01-02-2014,0.019285714
Dakshin Bastar,01-03-2014,0.561290323
Dakshin Bastar,01-04-2014,0.639333333
Dakshin Bastar,01-05-2014,1.955483871
Dakshin Bastar,01-06-2014,3.194
Dakshin Bastar,01-07-2014,13.65322581
Dakshin Bastar,01-08-2014,12.21709677
Dakshin Bastar,01-09-2014,10.63333333
Dakshin Bastar,01-10-2014,4.690645161
Dakshin Bastar,01-11-2014,0.621
Dakshin Bastar,01-12-2014,0.000322581
Dakshin Bastar,01-01-2015,0.046774194
Dakshin Bastar,01-02-2015,0.035
Dakshin Bastar,01-03-2015,0.318387097
Dakshin Bastar,01-04-2015,1.971333333
Dakshin Bastar,01-05-2015,0.832580645
Dakshin Bastar,01-06-2015,18.17433333
Dakshin Bastar,01-07-2015,5.094193548
Dakshin Bastar,01-08-2015,14.30129032
Dakshin Bastar,01-09-2015,13.18733333
Dakshin Bastar,01-10-2015,1.429032258
Dakshin Bastar,01-11-2015,0.382
Dakshin Bastar,01-12-2015,0.057741935
Dakshin Bastar,01-01-2016,0.007741935
Dakshin Bastar,01-02-2016,0.052758621
Dakshin Bastar,01-03-2016,0.376129032
Dakshin Bastar,01-04-2016,0.141
Dakshin Bastar,01-05-2016,0.642580645
Dakshin Bastar,01-06-2016,10.17766667
Dakshin Bastar,01-07-2016,11.12774194
Dakshin Bastar,01-08-2016,10.40870968
Dakshin Bastar,01-09-2016,12.837
Dakshin Bastar,01-10-2016,4.326451613
Dakshin Bastar,01-11-2016,0.012666667
Dakshin Bastar,01-12-2016,0.039677419
Dakshin Bastar,01-01-2017,0
Dakshin Bastar,01-02-2017,0
Dakshin Bastar,01-03-2017,0.299354839
Dakshin Bastar,01-04-2017,0.180333333
Dakshin Bastar,01-05-2017,1.063225806
Dakshin Bastar,01-06-2017,10.94666667
Dakshin Bastar,01-07-2017,15.16967742
Dakshin Bastar,01-08-2017,16.21290323
Dakshin Bastar,01-09-2017,7.466666667
Dakshin Bastar,01-10-2017,4.97
Dakshin Bastar,01-11-2017,0.022333333
Dakshin Bastar,01-12-2017,0
Dakshin Bastar,01-01-2018,0
Dakshin Bastar,01-02-2018,0.002857143
Dakshin Bastar,01-03-2018,0.01516129
Dakshin Bastar,01-04-2018,1.649333333
Dakshin Bastar,01-05-2018,1.393870968
Dakshin Bastar,01-06-2018,7.858666667
Dakshin Bastar,01-07-2018,19.73967742
Dakshin Bastar,01-08-2018,15.19677419
Dakshin Bastar,01-09-2018,8.357333333
Dakshin Bastar,01-10-2018,0.98
Dakshin Bastar,01-11-2018,0.001666667
Dakshin Bastar,01-12-2018,0.799032258
